仁愛區,忠懇,愛比蓋爾
秀水鄉,友好的,愛瑪
埔心鄉,樂觀的,艾蓓夏
埔鹽鄉,守紀律的,艾佛絲
大城鄉,條理分明的,芭布斯
芳苑鄉,實事求是的,蓓琪
竹塘鄉,無拘束,貝里爾
社頭鄉,理想主義,布倫達
二水鄉,勇敢,白莎
田尾鄉,自信,坎迪斯
埤頭鄉,滿足,卡洛琳
溪州鄉,尖刻幽默,凱西
南投市,順服,西莉婭
埔里鎮,調解,雀莉
草屯鎮,可親,克里斯
竹山鎮,好動,克莉斯汀
集集鎮,興趣廣泛,克勞地婭
名間鄉,工作有效率,康斯坦思
鹿谷鄉,語言行動迅速,卡嫚
中寮鄉,輕率不踏實,可琳
魚池鄉,坦率,辛西亞
國姓鄉,井井有條,黛西
水里鄉,肯定,黛布
信義鄉,深沉,迪爾德麗
仁愛鄉,細節,丹尼斯
斗六市,貫徹始終,黛安
林內鄉,羞澀,多拉
斗南鎮,喜交朋友,朵勒絲
古坑鄉,令人信服,伊迪斯
大埤鄉,多言,伊萊恩
莿桐鄉,開朗,伊萊扎
虎尾鎮,輕鬆,愛倫
西螺鎮,樂觀,愛爾西
土庫鎮,富有朝氣,愛瑪
褒忠鄉,,尤妮絲
二崙鄉,,伊芙琳
崙背鄉,,伊文妮
麥寮鄉,,佛
臺西鄉,,費歐娜
東勢鄉,,弗羅倫斯
北港鎮,,法妮達
元長鄉,,弗蘭
四湖鄉,,金
口湖鄉,,喬治娜
水林鄉,,格蒂
東區,,吉利恩
西區,,格倫達
太保市,,格雷西
朴子市,,格溫德林
布袋鎮,,黑茲爾
大林鎮,,亨里埃塔
民雄鄉,,海達
溪口鄉,,荷田西亞
新港鄉,,愛達
六腳鄉,,愛里絲
東石鄉,,茱莉安娜
義竹鄉,,珍妮德
鹿草鄉,,杰基
水上鄉,,珍妮
中埔鄉,,潔斯
竹崎鄉,,吉兒
梅山鄉,,喬安娜
番路鄉,,約瑟芬
大埔鄉,,喬伊思
阿里山鄉,,茱莉亞
中西區,,瓊
東區,,凱特
南區,,凱
北區,,金柏莉
安平區,,凱薩琳
安南區,,勞拉
永康區,,莉比
歸仁區,,琳達
新化區,,莉維亞
左鎮區,,羅莉
玉井區,,路易絲
楠西區,,露西
南化區,,莉絲麗
仁德區,,梅布爾
關廟區,,瑪吉
龍崎區,,瑪西亞
官田區,,瑪杰里
麻豆區,,瑪麗
佳里區,,瑪薩
西港區,,梅英
七股區,,瑪丁娜
將軍區,,莫林
學甲區,,美拉尼
北門區,,米雪兒
新營區,,米莉
後壁區,,莫伊拉
白河區,,繆里爾
東山區,,妮娜
六甲區,,南西
下營區,,納塔莎
柳營區,,尼基
鹽水區,,諾拉
善化區,,奧格
大內區,,奧莉薇雃
山上區,,派德
新市區,,白西絲
安定區,,裴西
楠梓區,,波琳
左營區,,佩內洛普
鼓山區,,菲比
三民區,,波利
鹽埕區,,瑞那
前金區,,羅達
新興區,,羅賓
苓雅區,,羅莎琳
前鎮區,,羅斯
旗津區,,露絲
小港區,,莎蒂
鳳山區,,莎姆
大寮區,,桑蒂
鳥松區,,希拉
林園區,,絲波
仁武區,,蘇菲亞
大樹區,,史黛拉
大社區,,蘇姍娜
岡山區,,蘇姍
路竹區,,特里
橋頭區,,塞爾瑪
梓官區,,賽亞
彌陀區,,崔西
永安區,,兒瑞嘉
燕巢區,,厄林拉
田寮區,,維維恩
阿蓮區,,瓦內薩
茄萣區,,維基
湖內區,,瓦奧來特
旗山區,,威娜
美濃區,,威尼
內門區,,阿加莎
杉林區,,艾妮沙亞
甲仙區,,愛琳
六龜區,,亞歷克西斯
茂林區,,愛曼達
桃源區,,安吉
那瑪夏區,,安娜
屏東市,,安妮特
萬丹鄉,,奧黛麗
長治鄉,,愛妮莎
麟洛鄉,,娥瑞妮亞
九如鄉,,蓓達
里港鄉,,芭芭拉
鹽埔鄉,,比琳達
高樹鄉,,貝蒂
霧台鄉,,布里奇特
三地門鄉,,波妮
潮州鎮,,卡拉
萬巒鄉,,卡麗
竹田鄉,,西西莉亞
泰武鄉,,查倫
內埔鄉,,謝里爾
新埤鄉,,克里西
瑪家鄉,,辛蒂
來義鄉,,克利奧
枋寮鄉,,克莉斯朵
枋山鄉,,西來絲汀
春日鄉,,可娜
獅子鄉,,桃爾西
東港鎮,,達夫妮
新園鄉,,黛比
崁頂鄉,,迪莉亞
林邊鄉,,黛
南州鄉,,多利
佳冬鄉,,多琳
琉球鄉,,多特
恆春鎮,,愛德娜
車城鄉,,愛莉諾
滿州鄉,,伊莉莎白
牡丹鄉,,愛莉
馬公市,,愛爾思佩思
湖西鄉,,愛里卡
白沙鄉,,伊娃
西嶼鄉,,尤金妮亞
望安鄉,,依文吉琳
七美鄉,,費莉西蒂
花蓮市,,弗洛
新城鄉,,范麗西亞
吉安鄉,,弗雷達
壽豐鄉,,弗蘭西斯
秀林鄉,,喬治亞
鳳林鎮,,杰拉爾丁
光復鄉,,格特魯德
豐濱鄉,,琴妮
瑞穗鄉,,葛洛莉亞
萬榮鄉,,愛絲莉
玉里鎮,,漢納
富里鄉,,赫瑟
卓溪鄉,,喜諾莉
臺東市,,海薇
成功鎮,,伊莎貝拉
關山鎮,,英格里德
長濱鄉,,伊莎貝爾
海端鄉,,簡
池上鄉,,珍妮
東河鄉,,賈貴琳
鹿野鄉,,珍妮弗
延平鄉,,潔西卡
卑南鄉,,喬
金峰鄉,,喬安妮
大武鄉,,喬西
達仁鄉,,茱迪思
綠島鄉,,朱莉
蘭嶼鄉,,凱倫
太麻里鄉,,凱西
金城鎮,,凱莉
金湖鎮,,克麗絲坦
金沙鎮,,凱德
金寧鄉,,洛雷塔
烈嶼鄉,,莉蓮
烏坵鄉,,琳賽
南竿鄉,,麗茲
北竿鄉,,洛娜
莒光鄉,,露西亞
東引鄉,,莉迪亞
,,露西爾
,,瑪德琳
,,梅西
,,瑪西
,,瑪麗亞
,,瑪里琳
,,美拉妮
,,美美
,,瑪麗
,,梅維斯
,,美林達
,,米爾德里德
,,米蘭達
,,莫莉
,,米妮
,,納迪亞
,,蕾娃米
,,內爾
,,尼古拉
,,諾瑪
,,奧林匹克
,,帕姆
,,佩興斯
,,普魯敦斯
,,帕蒂
,,裴蘿
,,彭尼
,,菲妮斯
,,普里西拉
,,雷切爾
,,麗塔
,,羅莎莉
,,羅絲
,,露比
,,賽羅美
,,莎爾
,,薩曼莎
,,莎菈
,,伽莉
,,西維亞
,,蘇佛樂莉亞
,,史蒂芬妮
,,蘇
,,太比莎
,,特斯
,,媞娜
,,瑟芝
,,崔西亞
,,尤娜
,,尤瑞妮亞
,,瓦爾
,,薇拉
,,維多利亞
,,維吉尼亞
,,溫蒂
,,伊馮娜
,,阿貝
,,亞伯拉罕
,,亞道夫
,,艾尼賽斯
,,阿德里安
,,亞歷山大
,,阿爾文
,,安士姆
,,安格斯
,,阿諾德
,,奧古斯塔
,,布爾文
,,巴納比
,,巴士爾
,,伯納德
,,比爾
,,巴比
,,布拉德
,,布萊恩
,,布爾
,,卡爾頓
,,卡爾
,,查理士
,,克里斯多福
,,克拉克
,,克萊爾
,,克里福特
,,克萊夫
,,克雷格
,,卡茲伯特
,,戴爾
,,丹尼
,,大衛
,,丹尼斯
,,德斯蒙得
,,德克
,,唐
,,杜安
,,鄧肯
,,杜克
,,愛蒙
,,愛德蒙
,,艾略特
,,埃姆林
,,歐內斯特
,,愛理
,,費里克斯
,,弗洛伊德
,,弗蘭基
,,蓋布頓
,,蓋瑞
,,杰弗里
,,杰倫特
,,杰勒德
,,格倫
,,格雷厄姆
,,格雷格
,,格蘭德
,,漢克
,,亨利
,,霍華德
,,漢米爾頓
,,雨果
,,霍威爾
,,海瑞
,,艾薩克
,,埃拉
,,賈維斯
,,傑克
,,詹姆士
,,賈斯珀
,,傑夫瑞
,,吉瑞
,,吉姆
,,喬
,,喬納森
,,約書亞
,,諸理斯
,,克士
,,肯尼
,,凱特
,,雷班
,,賴利
,,倫尼
,,萊斯
,,盧
,,劉易士
,,路
,,路喜斯
,,馬爾克姆
,,邁拉基
,,馬蒂
,,邁林
,,莫里斯
,,麥可
,,邁爾斯
,,米切爾
,,墨瑞
,,納阿美
,,雷休
,,半頓
,,納撒尼爾
,,尼地
,,尼基
,,諾姆
,,奧利佛
,,歐文
,,阿克特佛斯
,,帕迪
,,保羅
,,彼得
,,波瑞吉
,,佛蘭德
,,昆廷
,,魯濱
,,蘭迪
,,雷蒙
,,雷克斯
,,里克
,,羅比
,,羅賓
,,羅德尼
,,羅諾德
,,羅尼
,,魯弗斯
,,魯爾
,,羅斯
,,索爾
,,山謬爾
,,謝默斯
,,塞巴斯帝安
,,西蒙
,,史蒂夫
,,辛克萊
,,泰德
,,特倫斯
,,西奧多
,,提米
,,湯姆
,,狄亞寶特
,,特雷弗
,,范
,,維克扥
,,維夫
,,華爾特
,,偉斯理
,,威爾伯
,,威廉
,,亞拜爾
,,亞倫
,,艾爾賓
,,安布魯斯
,,阿爾
,,艾爾弗雷德
,,安德魯
,,安索尼
,,阿奇博爾
,,阿瑟
,,奧伯倫
,,伯川
,,巴里
,,班
,,伯尼
,,比利
,,鮑里斯
,,布蘭頓
,,布魯斯
,,凱撒
,,卡里
,,塞西爾
,,察理
,,克里斯
,,克勞德
,,康斯坦
,,克利夫
,,克萊德
,,柯特
,,戴克斯特
,,丹尼爾
,,達雷爾
,,戴夫
,,德瑞克
,,德斯
,,多米尼克
,,道格拉斯
,,達德利
,,達斯丁
,,愛爾
,,愛迪
,,愛德華
,,愛墨
,,伊諾克
,,埃羅爾
,,依拉
,,費迪南德
,,法郎西斯
,,弗雷德雷克
,,蓋布瑞爾
,,加文
,,杰夫
,,吉瑞爾
,,吉伯特
,,戈弗雷
,,格雷姆
,,蓋伊
,,漢弗萊
,,哈囉德
,,赫伯特
,,休伯特
,,海克特
,,赫曼
,,休
,,荷馬
,,伊凡
,,埃文
,,傑恩
,,傑柯
,,杰米
,,杰德
,,杰里米
,,杰西
,,吉米
,,約翰
,,喬恩
,,朱利安
,,卡爾
,,肯
,,肯特
,,凱夫
,,李
,,勞倫斯
,,李奧
,,萊斯利
,,李恩
,,利亞姆
,,路易士
,,奈曼
,,馬克
,,馬歇爾
,,馬特
,,美爾頓
,,馬克斯
,,米克
,,麥克
,,莫里斯
,,莫根
,,納特
,,拿破崙
,,諾亞
,,尼爾
,,尼可拉斯
,,奈杰爾
,,諾爾曼
,,奧斯卡
,,奧茲
,,奧斯曼
,,帕特
,,珀西
,,菲爾
,,皮爾斯
,,菲理蒙
,,昆西
,,拉爾夫
,,拉斐爾
,,雷吉
,,理察
,,里基
,,博比
,,羅德
,,羅捷
,,羅恩
,,羅伊
,,魯珀特
,,雷諾
,,羅素
,,山姆
,,山帝
,,肖恩
,,錫德
,,斯坦
,,史蒂芬
,,所羅門
,,泰德
,,得利
,,湯瑪斯
,,帝莫西
,,湯米
,,狄奧多理
,,特洛伊
,,維維安
,,文斯
,,華萊士
,,華倫
,,溫斯敦
,,威爾弗里德
,,威利斯
,,亞伯勒
,,亞當
,,艾爾頓
,,安摩斯
,,阿伯特
,,阿利斯泰爾
,,安迪
,,安東尼
,,阿奇
,,奧古斯丁
,,奧布里
,,布里安
,,巴塞洛繆
,,班捷明
,,伯特
,,鮑伯
,,布拉德富得
,,布倫丹
,,巴德
,,卡汶
,,克尼斯丁
,,錫德里克
,,查克
,,克拉倫斯
,,克里門
,,寇蒂斯
,,克林特
,,科林
,,西里爾
,,大貝
,,丹
,,達倫
,,狄恩
,,德莫特
,,狄克
,,唐納德
,,道格
,,達德
,,德懷特
,,愛賓里查
,,埃德加
,,愛德溫
,,埃爾羅伊
,,埃里克
,,尤金
,,弗雷迪
,,弗格斯
,,法蘭克
,,弗雷德
,,加雷思
,,吉恩
,,喬治
,,格里
,,賈爾斯
,,戈登
,,格雷戈里
,,吉地恩
,,哈爾
,,哈利
,,霍勒斯
,,休
,,海曼
,,希拉瑞
,,亨佛來
,,伊恩
,,艾弗
,,埃溫
,,嘉伯
,,杰克
,,傑生
,,傑夫
,,杰羅姆
,,傑西
,,喬克
,,強尼
,,約瑟夫
,,賈斯丁
,,克
,,肯尼思
,,凱文
,,柯克
,,蘭斯
,,萊恩
,,李納德
,,萊斯特
,,林肯
,,萊昂內爾
,,路克
,,林
,,馬丁
,,馬芬
,,馬休
,,蒙諾
,,默文
,,米基
,,米奇
,,莫特
,,蒙哥馬莉
,,內森
,,納爾生
,,諾爾伯
,,尼得
,,尼克
,,諾爾
,,奧利
,,奧斯瓦爾德
,,奧齊
,,鄂圖
,,派翠克
,,皮特
,,菲力蒲
,,伯理
,,派爾斯
,,瑞雷
,,倫道夫
,,雷
,,雷金納德
,,里奇
,,羅布
,,羅勃
,,羅德里克
,,羅傑
,,龍尼
,,魯道夫
,,拉斯
,,羅蘭德
,,撒姆森
,,薩米
,,司各脫
,,塞布
,,悉尼
,,斯坦萊
,,史蒂華
,,史都華
,,特爾
,,西奧
,,帝姆
,,扥比
,,東尼
,,泰倫斯
,,烏爾班
,,維克
,,文森特
,,沃利
,,韋恩
,,威爾
,,威利
